Competition.assay,Evolution.environment,Population.size,Evolved.strain.ID,Evolved.strain.mating.type,Evolved.strain.ade6.marker,Evolved.strain.genotype,Ancestor.genotype,Ancestor.mating.type,Ancestor.ade6.marker,Competition.replicate,Round,Picture.ID.initial,Evolved.strain.initial.CFU,Ancestor.initial.CFU,Competition.environment,Picture.ID.final,Evolved.strain.final.CFU,Ancestor.final.CFU
210,Fast,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4017,1,43,Fast,4062,2,114
211,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,769,9,20,Fast,2008,97,391
212,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,769,9,20,Fast,2017,65,266
213,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,769,9,20,Fast,2034,117,453
214,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,770,14,15,Fast,2026,0,210
215,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,770,14,15,Fast,2032,11,346
216,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,770,14,15,Fast,2019,29,945
217,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,778,18,25,Fast,2001,42,237
218,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,778,18,25,Fast,1989,152,244
219,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,778,18,25,Fast,2023,198,474
220,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,779,20,24,Fast,2000,136,128
221,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,779,20,24,Fast,2013,287,385
222,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,779,20,24,Fast,2035,124,177
223,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,3998,102,64,Fast,4023,239,53
224,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,3998,102,64,Fast,4024,397,75
225,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,3998,102,64,Fast,4055,113,55
226,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,3999,28,43,Fast,4034,171,341
227,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,3999,28,43,Fast,4057,104,237
228,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,3999,28,43,Fast,4065,50,192
229,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,1,2.1,786,20,7,Fast,2049,346,94
230,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,2,2.1,786,20,7,Fast,2050,452,152
231,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,3,2.1,786,20,7,Fast,2055,530,165
232,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4000,9,117,Fast,4033,122,96
233,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4000,9,117,Fast,4050,18,50
234,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4000,9,117,Fast,4059,0,72
235,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4002,45,33,Fast,4043,95,77
236,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4002,45,33,Fast,4049,245,152
237,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4002,45,33,Fast,4061,639,252
238,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4003,6,48,Fast,4020,65,63
239,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4003,6,48,Fast,4036,166,80
240,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4003,6,48,Fast,4044,127,67
241,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,772,5,33,Fast,1994,49,293
242,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,772,5,33,Fast,2015,36,357
243,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,772,5,33,Fast,2033,26,508
244,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4005,1,49,Fast,4019,26,89
245,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4005,1,49,Fast,4026,17,125
246,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4005,1,49,Fast,4045,22,152
247,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,773,42,42,Fast,1994,220,357
248,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,773,42,42,Fast,2015,136,230
249,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,773,42,42,Fast,2033,207,335
250,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4006,5,129,Fast,4047,424,44
251,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4006,5,129,Fast,4048,125,103
252,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4006,5,129,Fast,4063,101,133
253,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,781,44,40,Fast,1997,28,240
254,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,781,44,40,Fast,2040,644,609
255,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,781,44,40,Fast,2041,483,355
256,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,774,41,28,Fast,2042,54,265
257,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,774,41,28,Fast,2016,50,264
258,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,774,41,28,Fast,2038,42,385
259,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,766,11,28,Fast,1986,167,687
260,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,766,11,28,Fast,2006,126,604
261,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,766,11,28,Fast,2028,93,455
262,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4008,5,50,Mean,4076,0,112
263,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4008,5,50,Mean,4095,6,59
264,Fast,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4008,5,50,Mean,4113,0,127
265,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4009,70,56,Mean,4082,23,157
266,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4009,70,56,Mean,4090,87,143
267,Fast,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4009,70,56,Mean,4097,8,107
268,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4010,18,62,Mean,4081,1,844
269,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4010,18,62,Mean,4096,1,194
270,Fast,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4010,18,62,Mean,4099,29,198
271,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,784,12,65,Mean,2146,24,195
272,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,784,12,65,Mean,2147,0,16
273,Fast,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,784,12,65,Mean,2143,0,7
274,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,775,55,54,Mean,2116,9,0
275,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,775,55,54,Mean,2121,42,13
276,Fast,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,775,55,54,Mean,2128,90,2
277,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4011,3,136,Mean,4078,9,226
278,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4011,3,136,Mean,4093,2,161
279,Fast,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4011,3,136,Mean,4114,21,161
280,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4012,57,97,Mean,4067,664,431
281,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4012,57,97,Mean,4069,13,10
282,Fast,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4012,57,97,Mean,4085,81,48
283,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,4013,54,50,Mean,4087,75,301
284,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,4013,54,50,Mean,4100,46,210
285,Fast,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,4013,54,50,Mean,4120,3,34
286,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,4014,3,59,Mean,4077,0,119
287,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,4014,3,59,Mean,4098,0,114
288,Fast,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,4014,3,59,Mean,4110,0,33
289,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,785,164,18,Mean,2145,0,19
290,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,785,164,18,Mean,2162,0,122
291,Fast,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,785,164,18,Mean,2172,0,15
292,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4016,2,110,Mean,4072,15,33
293,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4016,2,110,Mean,4074,26,29
294,Fast,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4016,2,110,Mean,4116,50,54
295,Fast,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4017,1,43,Mean,4079,1,173
296,Fast,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4017,1,43,Mean,4092,0,82
297,Fast,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4017,1,43,Mean,4109,0,80
298,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,769,9,20,Mean,2086,13,27
299,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,769,9,20,Mean,2090,5,14
300,Fast,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,769,9,20,Mean,2108,49,141
301,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,770,14,15,Mean,2084,0,73
302,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,770,14,15,Mean,2111,0,52
303,Fast,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,770,14,15,Mean,2134,0,60
304,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,778,18,25,Mean,2092,16,20
305,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,778,18,25,Mean,2120,36,62
306,Fast,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,778,18,25,Mean,2140,57,119
307,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,779,20,24,Mean,2139,24,84
308,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,779,20,24,Mean,2122,6,54
309,Fast,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,779,20,24,Mean,2089,10,77
310,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,3998,102,64,Mean,4066,265,92
311,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,3998,102,64,Mean,4119,128,8
312,Fast,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,3998,102,64,Mean,4121,37,18
313,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,3999,28,43,Mean,4083,112,234
314,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,3999,28,43,Mean,4089,70,154
315,Fast,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,3999,28,43,Mean,4103,19,56
316,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,1,2.1,786,20,7,Mean,2164,82,62
317,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,2,2.1,786,20,7,Mean,2150,80,19
318,Fast,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,3,2.1,786,20,7,Mean,2141,40,13
319,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4000,9,117,Mean,4101,5,20
320,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4000,9,117,Mean,4111,83,44
321,Fast,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4000,9,117,Mean,4115,3,117
322,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4002,45,33,Mean,4080,229,144
323,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4002,45,33,Mean,4086,75,73
324,Fast,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4002,45,33,Mean,4117,278,120
325,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,1,6.3,4003,6,48,Mean,4073,106,233
326,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,2,6.3,4003,6,48,Mean,4102,22,111
327,Fast,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,3,6.3,4003,6,48,Mean,4105,10,14
328,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,1,6.3,4004,8,62,Mean,4075,10,176
329,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,2,6.3,4004,8,62,Mean,4091,26,83
330,Fast,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,3,6.3,4004,8,62,Mean,4112,31,251
331,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.3,4005,1,49,Mean,4084,12,100
332,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.3,4005,1,49,Mean,4104,2,82
333,Fast,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.3,4005,1,49,Mean,4118,1,175
334,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,773,42,42,Mean,2101,13,21
335,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,773,42,42,Mean,2109,3,27
336,Fast,96,5C,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,773,42,42,Mean,2130,4,21
337,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,1,6.3,4006,5,129,Mean,4068,222,126
338,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,2,6.3,4006,5,129,Mean,4088,34,60
339,Fast,96,5D,h+,M216,h+/M216,h+/M210,h+,M210,3,6.3,4006,5,129,Mean,4094,24,109
340,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,1,2.1,781,44,40,Mean,2095,217,268
341,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,2,2.1,781,44,40,Mean,2112,121,192
342,Fast,96,5E,h-,M216,h-/M216,h-/M210,h-,M210,3,2.1,781,44,40,Mean,2114,23,40
343,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,1,2.1,774,41,28,Mean,2106,16,66
344,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,2,2.1,774,41,28,Mean,2110,0,14
345,Fast,96,5F,h+,M210,h+/M210,h+/M216,h+,M216,3,2.1,774,41,28,Mean,2115,10,99
346,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,1,2.1,766,11,28,Mean,2099,61,186
347,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,2,2.1,766,11,28,Mean,2131,5,24
348,Fast,96,5G,h-,M210,h-/M210,h-/M216,h-,M216,3,2.1,766,11,28,Mean,2096,66,220
349,Intermediate,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,1,1,695,45,36,Intermediate,2549,14,12
350,Intermediate,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,2,1,695,45,36,Intermediate,2539,0,17
351,Intermediate,24,2A,h+,M216,h+/M216,h+/M210,h+,M210,3,1,695,45,36,Intermediate,2542,55,11
352,Intermediate,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,1,1,687,35,96,Intermediate,2566,0,16
353,Intermediate,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,2,1,687,35,96,Intermediate,2583,0,4
354,Intermediate,24,2B,h-,M216,h-/M216,h-/M210,h-,M210,3,1,687,35,96,Intermediate,2568,0,10
355,Intermediate,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3805,36,70,Intermediate,3845,22,431
356,Intermediate,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3805,36,70,Intermediate,3871,37,329
357,Intermediate,24,2C,h-,M216,h-/M216,h-/M210,h-,M210,3,6.1,3805,36,70,Intermediate,3875,18,293
358,Intermediate,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,1,6.1,3806,44,28,Intermediate,3842,276,315
359,Intermediate,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,2,6.1,3806,44,28,Intermediate,3874,241,265
360,Intermediate,24,2D,h-,M210,h-/M210,h-/M216,h-,M216,3,6.1,3806,44,28,Intermediate,3877,82,173
361,Intermediate,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3807,62,52,Intermediate,3849,99,105
362,Intermediate,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3807,62,52,Intermediate,3873,26,326
363,Intermediate,24,3A,h-,M216,h-/M216,h-/M210,h-,M210,3,6.1,3807,62,52,Intermediate,3879,7,304
364,Intermediate,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,1,6.1,3808,21,59,Intermediate,3856,344,418
365,Intermediate,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,2,6.1,3808,21,59,Intermediate,3866,198,70
366,Intermediate,24,3B,h+,M210,h+/M210,h+/M216,h+,M216,3,6.1,3808,21,59,Intermediate,3876,242,266
367,Intermediate,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,1,1,696,87,39,Intermediate,2540,17,21
368,Intermediate,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,2,1,696,87,39,Intermediate,2544,142,98
369,Intermediate,24,4A,h+,M216,h+/M216,h+/M210,h+,M210,3,1,696,87,39,Intermediate,2545,28,42
370,Intermediate,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.1,3810,9,89,Intermediate,3858,27,309
371,Intermediate,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.1,3810,9,89,Intermediate,3868,0,615
372,Intermediate,24,4C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.1,3810,9,89,Intermediate,3878,2,597
373,Intermediate,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,1,6.1,3811,84,64,Intermediate,3835,741,11
374,Intermediate,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,2,6.1,3811,84,64,Intermediate,3843,107,105
375,Intermediate,24,4D,h+,M210,h+/M210,h+/M216,h+,M216,3,6.1,3811,84,64,Intermediate,3851,86,0
376,Intermediate,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,1,1,682,7,178,Intermediate,2519,64,243
377,Intermediate,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,2,1,682,7,178,Intermediate,2581,0,13
378,Intermediate,24,5A,h+,M210,h+/M210,h+/M216,h+,M216,3,1,682,7,178,Intermediate,2582,142,98
379,Intermediate,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3812,163,72,Intermediate,3847,82,40
380,Intermediate,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3812,163,72,Intermediate,3848,157,19
381,Intermediate,24,5B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.1,3812,163,72,Intermediate,3864,258,45
382,Intermediate,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,1,6.1,3813,260,72,Intermediate,3836,94,280
383,Intermediate,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,2,6.1,3813,260,72,Intermediate,3846,9,133
384,Intermediate,24,5C,h+,M216,h+/M216,h+/M210,h+,M210,3,6.1,3813,260,72,Intermediate,3862,350,239
385,Intermediate,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,1,1,672,38,125,Intermediate,2464,18,109
386,Intermediate,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,2,1,672,38,125,Intermediate,2465,0,26
387,Intermediate,24,5D,h-,M210,h-/M210,h-/M216,h-,M216,3,1,672,38,125,Intermediate,2495,114,292
388,Intermediate,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,1,6.1,3814,87,46,Intermediate,3844,48,289
389,Intermediate,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,2,6.1,3814,87,46,Intermediate,3853,246,160
390,Intermediate,24,6B,h-,M210,h-/M210,h-/M216,h-,M216,3,6.1,3814,87,46,Intermediate,3855,214,8
391,Intermediate,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,1,1,674,29,160,Intermediate,2477,0,5
392,Intermediate,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,2,1,674,29,160,Intermediate,2503,2,16
393,Intermediate,24,6C,h-,M210,h-/M210,h-/M216,h-,M216,3,1,674,29,160,Intermediate,2505,20,29
394,Intermediate,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3799,106,51,Intermediate,3850,99,30
395,Intermediate,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3799,106,51,Intermediate,3861,165,45
396,Intermediate,96,3B,h-,M216,h-/M216,h-/M210,h-,M210,3,6.1,3799,106,51,Intermediate,3865,60,119
397,Intermediate,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3800,323,56,Intermediate,3838,170,52
398,Intermediate,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3800,323,56,Intermediate,3839,151,46
399,Intermediate,96,3C,h-,M216,h-/M216,h-/M210,h-,M210,3,6.1,3800,323,56,Intermediate,3863,137,102
400,Intermediate,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,1,1,675,27,150,Intermediate,2520,22,13
401,Intermediate,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,2,1,675,27,150,Intermediate,2529,12,21
402,Intermediate,96,3D,h+,M210,h+/M210,h+/M216,h+,M216,3,1,675,27,150,Intermediate,2573,5,0
403,Intermediate,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,1,1,667,49,152,Intermediate,2456,9,11
404,Intermediate,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,2,1,667,49,152,Intermediate,2468,10,93
405,Intermediate,96,3E,h-,M210,h-/M210,h-/M216,h-,M216,3,1,667,49,152,Intermediate,2485,50,69
406,Intermediate,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,1,1,691,82,61,Intermediate,2564,61,0
407,Intermediate,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,2,1,691,82,61,Intermediate,2579,31,1
408,Intermediate,96,3F,h+,M216,h+/M216,h+/M210,h+,M210,3,1,691,82,61,Intermediate,2516,64,12
409,Intermediate,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,1,1,692,33,70,Intermediate,2552,7,51
410,Intermediate,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,2,1,692,33,70,Intermediate,2553,30,46
411,Intermediate,96,3G,h+,M216,h+/M216,h+/M210,h+,M210,3,1,692,33,70,Intermediate,2572,5,26
412,Intermediate,96,4B,h+,M216,h+/M216,h+/M210,h+,M210,1,6.1,3801,13,64,Intermediate,3852,26,298
413,Intermediate,96,4B,h+,M216,h+/M216,h+/M210,h+,M210,2,6.1,3801,13,64,Intermediate,3854,0,198
414,Intermediate,96,4B,h+,M216,h+/M216,h+/M210,h+,M210,3,6.1,3801,13,64,Intermediate,3872,8,389
415,Intermediate,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,1,1,668,68,140,Intermediate,2470,62,19
416,Intermediate,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,2,1,668,68,140,Intermediate,2462,105,80
417,Intermediate,96,4D,h-,M210,h-/M210,h-/M216,h-,M216,3,1,668,68,140,Intermediate,2486,25,15
418,Intermediate,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,1,1,669,37,149,Intermediate,2499,38,7
419,Intermediate,96,4E,h-,M210,h-/M210,h-/M216,h-,M216,2,1,669,37,149,Intermediate,2473,179,58
420,Intermediate,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,1,1,676,22,219,Intermediate,2565,29,47
421,Intermediate,96,4G,h+,M210,h+/M210,h+/M216,h+,M216,2,1,676,22,219,Intermediate,2523,49,59
422,Intermediate,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,1,6.1,3802,57,55,Intermediate,3840,424,364
423,Intermediate,96,5B,h-,M216,h-/M216,h-/M210,h-,M210,2,6.1,3802,57,55,Intermediate,3859,62,398
